dt,observer,current_time,current_v,probe_auc,future_recoverable,future_v_min,future_collapsed
0.02,slow_observer,28.0,0.999945222703419,2.272727272727273,True,-0.6755194689456215,True
0.02,slow_observer,28.0,0.999945222703419,2.334090909090909,True,-0.720757972381925,True
0.02,slow_observer,28.0,0.999945222703419,2.3954545454545455,True,-0.7659964758182252,True
0.02,slow_observer,28.0,0.999945222703419,2.456818181818182,False,-0.8112349792545299,True
0.02,slow_observer,28.0,0.999945222703419,2.5181818181818185,False,-0.8564734826908308,True
0.02,slow_observer,28.0,0.999945222703419,2.579545454545455,False,-0.9017119861271349,True
0.02,slow_observer,28.0,0.999945222703419,2.640909090909091,False,-0.9469504895634367,True
0.02,slow_observer,28.0,0.999945222703419,2.7022727272727276,False,-0.9921889929997404,True
0.02,slow_observer,28.0,0.999945222703419,2.7636363636363637,False,-1.037427496436042,True
0.02,slow_observer,28.0,0.999945222703419,2.825,False,-1.0826659998723447,True
0.02,slow_observer,28.0,0.999945222703419,2.8863636363636367,False,-1.1279045033086503,True
0.02,slow_observer,28.0,0.999945222703419,2.947727272727273,False,-1.173143006744952,True
0.02,slow_observer,28.0,0.999945222703419,3.0090909090909097,False,-1.2183815101812536,True
0.02,slow_observer,28.0,0.999945222703419,3.0704545454545453,False,-1.2636200136175544,True
0.02,slow_observer,28.0,0.999945222703419,3.131818181818182,False,-1.3088585170538578,True
0.02,slow_observer,28.0,0.999945222703419,3.1931818181818183,False,-1.3540970204901617,True
0.02,slow_observer,28.0,0.999945222703419,3.254545454545455,False,-1.3993355239264629,True
0.02,slow_observer,28.0,0.999945222703419,3.3159090909090914,False,-1.4445740273627645,True
0.02,slow_observer,28.0,0.999945222703419,3.377272727272728,False,-1.4898125307990686,True
0.02,slow_observer,28.0,0.999945222703419,3.4386363636363644,False,-1.535051034235372,True
0.02,slow_observer,28.0,0.999945222703419,3.5,False,-1.5802895376716724,True
0.02,slow_observer,30.0,0.9995985211000903,0.8,True,0.41008219438111015,False
0.02,slow_observer,30.0,0.9995985211000903,0.8613636363636364,True,0.3648436909448061,False
0.02,slow_observer,30.0,0.9995985211000903,0.9227272727272728,True,0.3196051875085042,True
0.02,slow_observer,30.0,0.9995985211000903,0.9840909090909091,True,0.27436668407220266,True
0.02,slow_observer,30.0,0.9995985211000903,1.0454545454545454,True,0.2291281806359004,True
0.02,slow_observer,30.0,0.9995985211000903,1.106818181818182,True,0.18388967719959587,True
0.02,slow_observer,30.0,0.9995985211000903,1.1681818181818182,True,0.13865117376329417,True
0.02,slow_observer,30.0,0.9995985211000903,1.2295454545454545,True,0.09341267032699088,True
0.02,slow_observer,30.0,0.9995985211000903,1.290909090909091,True,0.04817416689068927,True
0.02,slow_observer,30.0,0.9995985211000903,1.3522727272727275,True,0.002935663454386524,True
0.02,slow_observer,30.0,0.9995985211000903,1.4136363636363638,True,-0.04230283998191614,True
0.02,slow_observer,30.0,0.9995985211000903,1.475,True,-0.08754134341821933,True
0.02,slow_observer,30.0,0.9995985211000903,1.5363636363636366,True,-0.13277984685452127,True
0.02,slow_observer,30.0,0.9995985211000903,1.5977272727272729,True,-0.17801835029082427,True
0.02,slow_observer,30.0,0.9995985211000903,1.6590909090909092,True,-0.22325685372712778,True
0.02,slow_observer,30.0,0.9995985211000903,1.7204545454545457,True,-0.26849535716342915,True
0.02,slow_observer,30.0,0.9995985211000903,1.781818181818182,True,-0.3137338605997318,True
0.02,slow_observer,30.0,0.9995985211000903,1.8431818181818183,True,-0.35897236403603516,True
0.02,slow_observer,30.0,0.9995985211000903,1.9045454545454548,True,-0.4042108674723375,True
0.02,slow_observer,30.0,0.9995985211000903,1.965909090909091,True,-0.4494493709086399,True
0.02,slow_observer,30.0,0.9995985211000903,2.0272727272727273,True,-0.49468787434494216,True
0.02,slow_observer,30.0,0.9995985211000903,2.088636363636364,True,-0.5399263777812434,True
0.02,slow_observer,30.0,0.9995985211000903,2.1500000000000004,True,-0.5851648812175482,True
0.02,slow_observer,30.0,0.9995985211000903,2.211363636363637,True,-0.63040338465385,True
0.02,slow_observer,30.0,0.9995985211000903,2.272727272727273,True,-0.6756418880901531,True
0.02,slow_observer,30.0,0.9995985211000903,2.334090909090909,True,-0.7208803915264546,True
0.02,slow_observer,30.0,0.9995985211000903,2.3954545454545455,True,-0.7661188949627586,True
0.02,slow_observer,30.0,0.9995985211000903,2.456818181818182,False,-0.8113573983990594,True
0.02,slow_observer,30.0,0.9995985211000903,2.5181818181818185,False,-0.8565959018353643,True
0.02,slow_observer,30.0,0.9995985211000903,2.579545454545455,False,-0.9018344052716661,True
0.02,slow_observer,30.0,0.9995985211000903,2.640909090909091,False,-0.9470729087079687,True
0.02,slow_observer,30.0,0.9995985211000903,2.7022727272727276,False,-0.9923114121442714,True
0.02,slow_observer,30.0,0.9995985211000903,2.7636363636363637,False,-1.0375499155805736,True
0.02,slow_observer,30.0,0.9995985211000903,2.825,False,-1.082788419016876,True
0.02,slow_observer,30.0,0.9995985211000903,2.8863636363636367,False,-1.1280269224531794,True
0.02,slow_observer,30.0,0.9995985211000903,2.947727272727273,False,-1.173265425889483,True
0.02,slow_observer,30.0,0.9995985211000903,3.0090909090909097,False,-1.218503929325784,True
0.02,slow_observer,30.0,0.9995985211000903,3.0704545454545453,False,-1.263742432762086,True
0.02,slow_observer,30.0,0.9995985211000903,3.131818181818182,False,-1.3089809361983888,True
0.02,slow_observer,30.0,0.9995985211000903,3.1931818181818183,False,-1.354219439634692,True
0.02,slow_observer,30.0,0.9995985211000903,3.254545454545455,False,-1.3994579430709924,True
0.02,slow_observer,30.0,0.9995985211000903,3.3159090909090914,False,-1.4446964465072962,True
0.02,slow_observer,30.0,0.9995985211000903,3.377272727272728,False,-1.4899349499435997,True
0.02,slow_observer,30.0,0.9995985211000903,3.4386363636363644,False,-1.5351734533799033,True
0.02,slow_observer,30.0,0.9995985211000903,3.5,False,-1.5804119568162036,True
0.02,slow_observer,32.0,0.9976771228993375,0.8,True,0.4094037552802168,False
0.02,slow_observer,32.0,0.9976771228993375,0.8613636363636364,True,0.36416525184391624,False
0.02,slow_observer,32.0,0.9976771228993375,0.9227272727272728,True,0.3189267484076123,True
0.02,slow_observer,32.0,0.9976771228993375,0.9840909090909091,True,0.2736882449713106,True
0.02,slow_observer,32.0,0.9976771228993375,1.0454545454545454,True,0.22844974153500697,True
0.02,slow_observer,32.0,0.9976771228993375,1.106818181818182,True,0.18321123809870446,True
0.02,slow_observer,32.0,0.9976771228993375,1.1681818181818182,True,0.13797273466240245,True
0.02,slow_observer,32.0,0.9976771228993375,1.2295454545454545,True,0.09273423122610103,True
0.02,slow_observer,32.0,0.9976771228993375,1.290909090909091,True,0.04749572778979693,True
0.02,slow_observer,32.0,0.9976771228993375,1.3522727272727275,True,0.002257224353493714,True
0.02,slow_observer,32.0,0.9976771228993375,1.4136363636363638,True,-0.04298127908280722,True
0.02,slow_observer,32.0,0.9976771228993375,1.475,True,-0.0882197825191111,True
0.02,slow_observer,32.0,0.9976771228993375,1.5363636363636366,True,-0.13345828595541473,True
0.02,slow_observer,32.0,0.9976771228993375,1.5977272727272729,True,-0.17869678939171565,True
0.02,slow_observer,32.0,0.9976771228993375,1.6590909090909092,True,-0.2239352928280193,True
0.02,slow_observer,32.0,0.9976771228993375,1.7204545454545457,True,-0.26917379626432153,True
0.02,slow_observer,32.0,0.9976771228993375,1.781818181818182,True,-0.3144122997006242,True
0.02,slow_observer,32.0,0.9976771228993375,1.8431818181818183,True,-0.3596508031369257,True
0.02,slow_observer,32.0,0.9976771228993375,1.9045454545454548,True,-0.4048893065732289,True
0.02,slow_observer,32.0,0.9976771228993375,1.965909090909091,True,-0.45012781000953156,True
0.02,slow_observer,32.0,0.9976771228993375,2.0272727272727273,True,-0.49536631344583326,True
0.02,slow_observer,32.0,0.9976771228993375,2.088636363636364,True,-0.5406048168821355,True
0.02,slow_observer,32.0,0.9976771228993375,2.1500000000000004,True,-0.5858433203184393,True
0.02,slow_observer,32.0,0.9976771228993375,2.211363636363637,True,-0.6310818237547406,True
0.02,slow_observer,32.0,0.9976771228993375,2.272727272727273,True,-0.676320327191045,True
0.02,slow_observer,32.0,0.9976771228993375,2.334090909090909,True,-0.7215588306273468,True
0.02,slow_observer,32.0,0.9976771228993375,2.3954545454545455,True,-0.7667973340636496,True
0.02,slow_observer,32.0,0.9976771228993375,2.456818181818182,False,-0.812035837499952,True
0.02,slow_observer,32.0,0.9976771228993375,2.5181818181818185,False,-0.8572743409362562,True
0.02,slow_observer,32.0,0.9976771228993375,2.579545454545455,False,-0.9025128443725567,True
0.02,slow_observer,32.0,0.9976771228993375,2.640909090909091,False,-0.94775134780886,True
0.02,slow_observer,32.0,0.9976771228993375,2.7022727272727276,False,-0.9929898512451629,True
0.02,slow_observer,32.0,0.9976771228993375,2.7636363636363637,False,-1.0382283546814655,True
0.02,slow_observer,32.0,0.9976771228993375,2.825,False,-1.083466858117768,True
0.02,slow_observer,32.0,0.9976771228993375,2.8863636363636367,False,-1.1287053615540699,True
0.02,slow_observer,32.0,0.9976771228993375,2.947727272727273,False,-1.173943864990373,True
0.02,slow_observer,32.0,0.9976771228993375,3.0090909090909097,False,-1.2191823684266736,True
0.02,slow_observer,32.0,0.9976771228993375,3.0704545454545453,False,-1.2644208718629781,True
0.02,slow_observer,32.0,0.9976771228993375,3.131818181818182,False,-1.3096593752992796,True
0.02,slow_observer,32.0,0.9976771228993375,3.1931818181818183,False,-1.3548978787355839,True
0.02,slow_observer,32.0,0.9976771228993375,3.254545454545455,False,-1.400136382171886,True
0.02,slow_observer,32.0,0.9976771228993375,3.3159090909090914,False,-1.4453748856081876,True
0.02,slow_observer,32.0,0.9976771228993375,3.377272727272728,False,-1.4906133890444937,True
0.02,slow_observer,32.0,0.9976771228993375,3.4386363636363644,False,-1.5358518924807945,True
0.02,slow_observer,32.0,0.9976771228993375,3.5,False,-1.5810903959170974,True
0.02,slow_observer,34.0,0.9893568568909362,0.8,True,0.40646459286773273,False
0.02,slow_observer,34.0,0.9893568568909362,0.8613636363636364,True,0.3612261816273328,False
0.02,slow_observer,34.0,0.9893568568909362,0.9227272727272728,True,0.31598777038693543,True
0.02,slow_observer,34.0,0.9893568568909362,0.9840909090909091,True,0.2707493591465355,True
0.02,slow_observer,34.0,0.9893568568909362,1.0454545454545454,True,0.22551094790613654,True
0.02,slow_observer,34.0,0.9893568568909362,1.106818181818182,True,0.18027253666573803,True
0.02,slow_observer,34.0,0.9893568568909362,1.1681818181818182,True,0.13503412542534066,True
0.02,slow_observer,34.0,0.9893568568909362,1.2295454545454545,True,0.08979571418494035,True
0.02,slow_observer,34.0,0.9893568568909362,1.290909090909091,True,0.04455730294454242,True
