noise_strength,observer,current_time,current_v,probe_auc,recovery_probability,mean_future_v_min,std_future_v_min
0.05,slow_observer,200.0,-1.1550531933130752,2.085714285714286,0.0,-1.3094261018033204,0.022793000617590833
0.05,slow_observer,200.0,-1.1550531933130752,2.2142857142857144,0.0,-1.4035181789276467,0.02279751839303949
0.05,slow_observer,200.0,-1.1550531933130752,2.3428571428571434,0.0,-1.4976121260416375,0.022824390659593095
0.05,slow_observer,200.0,-1.1550531933130752,2.4714285714285715,0.0,-1.5917060731556274,0.02287224534190595
0.05,slow_observer,200.0,-1.1550531933130752,2.6000000000000005,0.0,-1.6858000202696184,0.02294095113278665
0.05,slow_observer,200.0,-1.1550531933130752,2.7285714285714286,0.0,-1.7798939673836085,0.023030321419193693
0.05,slow_observer,200.0,-1.1550531933130752,2.8571428571428577,0.0,-1.8740126428171557,0.02310639390177385
0.05,slow_observer,200.0,-1.1550531933130752,2.9857142857142858,0.0,-1.9682321002309964,0.023059041438648977
0.05,slow_observer,200.0,-1.1550531933130752,3.1142857142857148,0.0,-2.062619529956365,0.022783747538634908
0.05,slow_observer,200.0,-1.1550531933130752,3.242857142857143,0.0,-2.157007560546734,0.022510451431137415
0.05,slow_observer,200.0,-1.1550531933130752,3.371428571428572,0.0,-2.251395591137101,0.02224009565757972
0.05,slow_observer,200.0,-1.1550531933130752,3.5,0.0,-2.34578362172747,0.02197278875287097
0.05,slow_observer,208.0,-0.6581883745119012,0.8,0.5,-0.6581883745119012,0.0
0.05,slow_observer,208.0,-0.6581883745119012,0.9285714285714286,0.3333333333333333,-0.6581883745119012,0.0
0.05,slow_observer,208.0,-0.6581883745119012,1.0571428571428572,0.16666666666666666,-0.6581883745119012,0.0
0.05,slow_observer,208.0,-0.6581883745119012,1.185714285714286,0.16666666666666666,-0.6581883745119012,0.0
0.05,slow_observer,208.0,-0.6581883745119012,1.3142857142857145,0.16666666666666666,-0.6581883745119012,0.0
0.05,slow_observer,208.0,-0.6581883745119012,1.442857142857143,0.16666666666666666,-0.6750164830948937,0.02078508808679271
0.05,slow_observer,208.0,-0.6581883745119012,1.5714285714285716,0.16666666666666666,-0.7572862110024571,0.03157150357934621
0.05,slow_observer,208.0,-0.6581883745119012,1.7000000000000002,0.16666666666666666,-0.8512021699520385,0.031772035585614956
0.05,slow_observer,208.0,-0.6581883745119012,1.8285714285714287,0.16666666666666666,-0.9451399217603905,0.0319590071745956
0.05,slow_observer,208.0,-0.6581883745119012,1.9571428571428573,0.16666666666666666,-1.0392249730756136,0.03204512242674922
0.05,slow_observer,208.0,-0.6581883745119012,2.085714285714286,0.0,-1.1333249511424364,0.032147163581351904
0.05,slow_observer,208.0,-0.6581883745119012,2.2142857142857144,0.0,-1.2274332328252227,0.032265774517593646
0.05,slow_observer,208.0,-0.6581883745119012,2.3428571428571434,0.0,-1.3216692841659132,0.03244639400690278
0.05,slow_observer,208.0,-0.6581883745119012,2.4714285714285715,0.0,-1.416026654196138,0.03264369043383537
0.05,slow_observer,208.0,-0.6581883745119012,2.6000000000000005,0.0,-1.5103840242263635,0.032842914507330595
0.05,slow_observer,208.0,-0.6581883745119012,2.7285714285714286,0.0,-1.6047413942565871,0.03304403136178222
0.05,slow_observer,208.0,-0.6581883745119012,2.8571428571428577,0.0,-1.6990987642868125,0.03324700664793548
0.05,slow_observer,208.0,-0.6581883745119012,2.9857142857142858,0.0,-1.7934641707873107,0.03344500087562991
0.05,slow_observer,208.0,-0.6581883745119012,3.1142857142857148,0.0,-1.8878321490898948,0.033642614656083966
0.05,slow_observer,208.0,-0.6581883745119012,3.242857142857143,0.0,-1.9822001273924794,0.03384199515631357
0.05,slow_observer,208.0,-0.6581883745119012,3.371428571428572,0.0,-2.076568105695065,0.03404311133485688
0.05,slow_observer,208.0,-0.6581883745119012,3.5,0.0,-2.1709360839976495,0.034245932612358934
0.05,slow_observer,216.0,-0.8480236602913911,0.8,0.3333333333333333,-0.8481395261850208,0.00025908401442993465
0.05,slow_observer,216.0,-0.8480236602913911,0.9285714285714286,0.16666666666666666,-0.848139526248266,0.00025908415585067864
0.05,slow_observer,216.0,-0.8480236602913911,1.0571428571428572,0.16666666666666666,-0.8481395263115113,0.0002590842972714225
0.05,slow_observer,216.0,-0.8480236602913911,1.185714285714286,0.16666666666666666,-0.8481395263747565,0.0002590844386922079
0.05,slow_observer,216.0,-0.8480236602913911,1.3142857142857145,0.16666666666666666,-0.8481395264380018,0.00025908458011295185
0.05,slow_observer,216.0,-0.8480236602913911,1.442857142857143,0.16666666666666666,-0.8481395265012472,0.0002590847215336958
0.05,slow_observer,216.0,-0.8480236602913911,1.5714285714285716,0.16666666666666666,-0.8529353232189183,0.010674929065310694
0.05,slow_observer,216.0,-0.8480236602913911,1.7000000000000002,0.16666666666666666,-0.9111091798784953,0.03521540963151675
0.05,slow_observer,216.0,-0.8480236602913911,1.8285714285714287,0.16666666666666666,-1.0046531822810019,0.034760281379183154
